proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
G:\mzkit\src\mzmath\GCxGC\GCxGC.vbproj,GCxGC\ChromatogramMesh.vb,68,7,13,48,2,6,3,2,0,2127,2.13 KB
G:\mzkit\src\mzmath\GCxGC\GCxGC.vbproj,GCxGC\Demodulate2Dimension.vb,84,24,15,45,1,0,0,3,0,3144,3.14 KB
G:\mzkit\src\mzmath\GCxGC\GCxGC.vbproj,GCxGC\DimensionalSpectrum.vb,27,16,4,7,1,4,0,0,0,746,746 B
G:\mzkit\src\mzmath\GCxGC\GCxGC.vbproj,GCxGC\EIPeak.vb,32,14,5,13,1,2,0,2,0,978,978 B
G:\mzkit\src\mzmath\GCxGC\GCxGC.vbproj,GCxGC\GCMSPeak1D.vb,63,12,6,45,1,7,0,1,0,2558,2.56 KB
G:\mzkit\src\mzmath\GCxGC\GCxGC.vbproj,GCxGC\GCxGCPeakDetection.vb,61,0,8,53,1,0,0,2,0,2719,2.72 KB
G:\mzkit\src\mzmath\GCxGC\GCxGC.vbproj,GCxGC\Peak2D.vb,57,39,3,15,1,10,0,1,0,1566,1.57 KB
G:\mzkit\src\mzmath\GCxGC\GCxGC.vbproj,<project>,392,112,54,226,8,29,3,11,0,13838,13.84 KB
G:\mzkit\src\mzmath\MoleculeNetworking\MoleculeNetworking.vbproj,MoleculeNetworking\NLPEmbedding\IonEmbedding.vb,62,6,14,42,1,0,3,1,0,1789,1.79 KB
G:\mzkit\src\mzmath\MoleculeNetworking\MoleculeNetworking.vbproj,MoleculeNetworking\NLPEmbedding\SpecEmbedding.vb,79,12,13,54,1,1,3,1,0,2491,2.49 KB
G:\mzkit\src\mzmath\MoleculeNetworking\MoleculeNetworking.vbproj,MoleculeNetworking\NLPEmbedding\SpectrumVocabulary.vb,37,3,8,26,1,0,1,3,0,1139,1.14 KB
G:\mzkit\src\mzmath\MoleculeNetworking\MoleculeNetworking.vbproj,MoleculeNetworking\SpectrumGrid\RawPeakAssign.vb,26,0,6,20,1,8,0,1,0,818,818 B
G:\mzkit\src\mzmath\MoleculeNetworking\MoleculeNetworking.vbproj,MoleculeNetworking\SpectrumGrid\SpectrumGrid.vb,295,34,44,217,1,0,1,8,0,12113,12.11 KB
G:\mzkit\src\mzmath\MoleculeNetworking\MoleculeNetworking.vbproj,MoleculeNetworking\SpectrumGrid\SpectrumLine.vb,49,19,7,23,1,5,0,3,0,1472,1.47 KB
G:\mzkit\src\mzmath\MoleculeNetworking\MoleculeNetworking.vbproj,MoleculeNetworking\SpectrumPool\DIAInfer.vb,236,56,26,154,1,0,1,6,0,10767,10.77 KB
G:\mzkit\src\mzmath\MoleculeNetworking\MoleculeNetworking.vbproj,MoleculeNetworking\SpectrumPool\SpectrumPool.vb,397,123,57,217,1,1,10,5,0,14723,14.72 KB
G:\mzkit\src\mzmath\MoleculeNetworking\MoleculeNetworking.vbproj,MoleculeNetworking\SpectrumPool\Utils.vb,48,13,5,30,1,0,0,1,0,1706,1.71 KB
G:\mzkit\src\mzmath\MoleculeNetworking\MoleculeNetworking.vbproj,MoleculeNetworking\SpectrumPool\FileSystem\HttpTreeFs.vb,321,55,50,216,1,3,4,15,0,12441,12.44 KB
G:\mzkit\src\mzmath\MoleculeNetworking\MoleculeNetworking.vbproj,MoleculeNetworking\SpectrumPool\FileSystem\PoolFs.vb,150,37,23,90,1,3,4,3,0,6113,6.11 KB
G:\mzkit\src\mzmath\MoleculeNetworking\MoleculeNetworking.vbproj,MoleculeNetworking\SpectrumPool\FileSystem\Restful.vb,40,0,7,33,1,3,0,2,0,1407,1.41 KB
