proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Algorithm.vb,503,63,78,362,3,1,3,24,0,18251,18.25 KB
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Extensions.vb,66,2,9,55,1,0,0,4,0,2449,2.45 KB
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\MSJointConnection.vb,258,26,25,207,1,1,1,14,0,10528,10.53 KB
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Infer\Candidate.vb,29,8,6,15,1,6,0,1,0,838,838 B
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Infer\CandidateInfer.vb,15,0,4,11,1,2,0,1,0,509,509 B
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Infer\InferLevel.vb,14,1,3,10,1,0,0,0,0,302,302 B
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Infer\InferLink.vb,39,16,8,15,1,5,0,1,0,1197,1.20 KB
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Infer\SeedsProvider.vb,151,1,22,128,1,0,1,4,0,6417,6.42 KB
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Models\AnnotatedSeed.vb,34,14,6,14,1,6,0,1,0,1022,1022 B
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Models\KEGGCompound.vb,78,3,16,59,1,4,1,1,0,2283,2.28 KB
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Models\UnknownSet.vb,196,33,27,136,1,0,2,8,0,7129,7.13 KB
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Models\Networking\CompoundSolver.vb,79,29,11,39,1,0,1,4,0,3843,3.84 KB
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Models\Networking\KEGGNetwork.vb,151,16,23,112,1,0,1,6,0,6036,6.04 KB
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Models\Networking\Networking.vb,14,6,3,5,1,0,0,0,0,495,495 B
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Models\Networking\OntologyTree.vb,86,22,10,54,1,0,1,4,0,3101,3.10 KB
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Result\MetaDNARawSet.vb,32,3,6,23,1,2,0,2,0,977,977 B
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Result\MetaDNAResult.vb,122,51,10,61,1,30,0,3,0,3980,3.98 KB
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Result\NetworkHandler.vb,36,0,6,30,1,0,0,1,0,1396,1.40 KB
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,metaDNA\Result\ResultHandler.vb,147,43,15,89,1,0,0,3,0,10081,10.08 KB
E:\mzkit\src\metadna\metaDNA\metaDNA.NET5.vbproj,<project>,2050,337,288,1425,21,57,11,82,0,80834,80.83 KB
E:\mzkit\src\metadna\MetaDNA_visual\metaDNA_visual.NET5.vbproj,MetaDNA_visual\Extensions.vb,29,5,4,20,1,0,0,2,0,1171,1.17 KB
E:\mzkit\src\metadna\MetaDNA_visual\metaDNA_visual.NET5.vbproj,MetaDNA_visual\GraphAlgorithm.vb,117,5,13,99,1,0,0,1,0,5182,5.18 KB
E:\mzkit\src\metadna\MetaDNA_visual\metaDNA_visual.NET5.vbproj,MetaDNA_visual\ReactionClass.vb,11,0,3,8,1,5,0,0,0,346,346 B
E:\mzkit\src\metadna\MetaDNA_visual\metaDNA_visual.NET5.vbproj,MetaDNA_visual\viz.vb,22,7,2,13,1,0,0,1,0,1128,1.13 KB
E:\mzkit\src\metadna\MetaDNA_visual\metaDNA_visual.NET5.vbproj,MetaDNA_visual\test\Module1.vb,35,0,11,24,1,0,3,0,0,1151,1.15 KB
E:\mzkit\src\metadna\MetaDNA_visual\metaDNA_visual.NET5.vbproj,MetaDNA_visual\test\My Project\Application.Designer.vb,12,9,1,2,0,0,0,0,0,434,434 B
E:\mzkit\src\metadna\MetaDNA_visual\metaDNA_visual.NET5.vbproj,MetaDNA_visual\test\My Project\AssemblyInfo.vb,35,15,7,13,0,0,0,0,0,1043,1.04 KB
E:\mzkit\src\metadna\MetaDNA_visual\metaDNA_visual.NET5.vbproj,MetaDNA_visual\test\My Project\Resources.Designer.vb,62,23,8,31,1,2,0,0,0,2766,2.77 KB
E:\mzkit\src\metadna\MetaDNA_visual\metaDNA_visual.NET5.vbproj,MetaDNA_visual\test\My Project\Settings.Designer.vb,73,9,13,51,2,2,1,0,0,2966,2.97 KB
E:\mzkit\src\metadna\MetaDNA_visual\metaDNA_visual.NET5.vbproj,MetaDNA_visual\XML\compound.vb,19,0,5,14,1,3,0,1,0,625,625 B
E:\mzkit\src\metadna\MetaDNA_visual\metaDNA_visual.NET5.vbproj,MetaDNA_visual\XML\node.vb,19,4,5,10,1,3,0,1,0,432,432 B
E:\mzkit\src\metadna\MetaDNA_visual\metaDNA_visual.NET5.vbproj,MetaDNA_visual\XML\unknown.vb,22,5,4,13,1,6,0,1,0,809,809 B
